"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","49","7","7","1","5.698998","0","7"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","49","22","22","1","38.961956","0","22"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","49","9","9","1","10.085936","0","9"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","49","40","40","1","58.690540","0","40"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","49","45","45","1","104.054398","0","45"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","49","993","1016","1","3391.665283","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","49","16","16","1","36.317768","0","16"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","49","17","17","1","32.548103","0","17"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","49","11","12","1","16.413443","0","12"
"/ControlRig/M_Manip.M_Manip","49","11","12","1","24.961657","0","12"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","49","56","62","2","100.132927","0","62"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","49","7","7","1","9.724492","0","7"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","49","7","7","1","3.342924","0","7"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","49","75","80","6","66.030037","0","80"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","49","156","166","6","286.613953","0","166"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","49","202","212","6","599.230469","0","212"
"/Game/Blender/ModularKit/Material.Material","49","25","25","1","0.000000","85","151"
"/Game/Blender/ModularKit/GrassPNG_Mat.GrassPNG_Mat","49","20","20","1","0.000000","10","56"
"/InterchangeAssets/gltf/M_Default.M_Default","49","234","252","6","985.092957","0","252"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","49","164","182","6","330.245453","0","182"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","49","156","166","6","269.131714","0","166"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","49","54","54","2","240.513412","0","54"
"/Game/Blender/ModularKit/Material_003.Material_003","49","13","13","1","0.000000","0","13"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","49","67","67","1","58.923214","0","67"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","49","7","7","1","8.167906","0","7"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","49","18","18","1","27.792856","0","18"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialMeter.M_AudioMaterialMeter","49","15","15","1","15.092889","0","15"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialRoundedSlider.M_AudioMaterialRoundedSlider","49","27","29","1","36.705647","0","29"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialEnvelope_ADSR.M_AudioMaterialEnvelope_ADSR","49","27","29","1","39.437256","0","29"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialKnob.M_AudioMaterialKnob","49","15","15","1","20.267651","0","15"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialToggleButton.M_AudioMaterialToggleButton","49","15","15","1","16.940166","0","15"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","49","42","46","1","95.863869","0","46"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","49","42","46","1","105.663437","0","46"
"/Game/Blender/Level1/Obtacles/VinesTexture_Mat.VinesTexture_Mat","49","8","8","1","0.000000","0","8"
"/Game/Blender/Level1/Obtacles/Material_002.Material_002","49","13","13","1","0.000000","0","13"
"/Game/Blender/Level1/Obtacles/Material_008.Material_008","49","13","13","1","0.000000","0","13"
"/Game/Blender/Level1/Obtacles/Material_005.Material_005","49","13","13","1","0.000000","0","13"
"/Game/Blender/Level1/Obtacles/Material_007.Material_007","49","13","13","1","0.000000","0","13"
"/Game/Blender/Level1/Obtacles/Material_003.Material_003","49","13","13","1","0.000000","0","13"
"/Game/Blender/Level1/Obtacles/Material_006.Material_006","49","13","13","1","0.000000","0","13"
"/Game/Blender/Level1/Material_003.Material_003","49","13","13","1","0.000000","0","13"
"/Game/Blender/Tree_Branch_Mat.Tree_Branch_Mat","49","13","13","1","0.000000","0","13"
"/Game/Blender/Level1/Daisie1.Daisie1","49","13","13","1","0.000000","0","13"
"/Game/Blender/Level1/CeramicTextureSkinBeard_Mat.CeramicTextureSkinBeard_Mat","49","13","13","1","0.000000","0","13"
"/Game/Blender/Level1/CeramicTextureSkin_Mat.CeramicTextureSkin_Mat","49","13","13","1","0.000000","0","13"
"/Game/Blender/Level1/CeramicTextureRed_Mat.CeramicTextureRed_Mat","49","13","13","1","0.000000","0","13"
"/Game/Blender/Level1/Material_001.Material_001","49","13","13","1","0.000000","0","13"
"/Game/Blender/Level1/CeramicTexturePurple_Mat.CeramicTexturePurple_Mat","49","13","13","1","0.000000","0","13"
"/Game/Blender/Level1/WoodTexture_Mat.WoodTexture_Mat","49","13","13","1","0.000000","0","13"
"/Game/Blender/Level1/Material_004.Material_004","49","13","13","1","0.000000","0","13"
"/Game/Blender/Level1/4284_Mat.4284_Mat","49","13","13","1","0.000000","0","13"
"/Game/Blender/Level1/Material_005.Material_005","49","13","13","1","0.000000","0","13"
"/Game/Blender/Level1/Material_002.Material_002","49","13","13","1","0.000000","0","13"
"/Game/Blender/Level1/Material_007.Material_007","49","13","13","1","0.000000","0","13"
"/Game/Blender/Level1/Material_006.Material_006","49","13","13","1","0.000000","0","13"
"/Game/Blender/Level1/Material.Material","49","13","13","1","0.000000","0","13"
"/Game/Blender/Level1/Obtacles/RockMaterial.RockMaterial","49","13","13","1","0.000000","0","13"
"/Game/Blender/ModularKit/Material_001.Material_001","49","13","13","1","0.000000","0","13"
"/Game/Blender/ModularKit/Material_002.Material_002","49","13","13","1","0.000000","0","13"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","49","7","7","1","8.063215","0","7"
"/Game/Blender/Forest_Skybox.Forest_Skybox","49","8","8","1","0.000000","0","8"
